item,campo_origem,campo_sql,tipo_dado,app_sales_brasil_sn,campo_looker_bq,status_implementacao,prioridade_implantacao,calculo_bq_final,create_view_select_expr,prompt_ia_base,criterios_avaliacao_ia,gates_governanca_aplicados,saida_json_esperada_ia,fonte_regra_codigo,tem_prompt_open_literal,tem_prompt_closed_literal,resumo_regras_ouro_open,resumo_json_open,resumo_json_closed,validado_bq_sn,validado_app_headers_sn,app_sales_validado_sn,evidencia_validacao
1,País Cuenta,pais_cuenta,STRING,S,País Cuenta,PRONTO,MEDIA,CAST(src.`pais_cuenta` AS STRING),CAST(src.`pais_cuenta` AS STRING) AS `pais_cuenta`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
2,Nombre de la oportunidad,nombre_oportunidad,STRING,S,Nombre oportunidad,PRONTO,MEDIA,CAST(src.`nombre_oportunidad` AS STRING),CAST(src.`nombre_oportunidad` AS STRING) AS `nombre_oportunidad`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
3,Portafolio,portafolio,STRING,S,Familia producto,PRONTO,ALTA,CAST(src.`portafolio` AS STRING),CAST(src.`portafolio` AS STRING) AS `portafolio`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
4,Etapa,etapa,STRING,S,Nombre Etapa Opp,PRONTO,MEDIA,CAST(src.`etapa` AS STRING),CAST(src.`etapa` AS STRING) AS `etapa`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
5,Familia de productos,familia_productos,STRING,S,Familia producto portafolio,PRONTO,ALTA,CAST(src.`familia_productos` AS STRING),CAST(src.`familia_productos` AS STRING) AS `familia_productos`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
6,Nombre de la cuenta,nombre_cuenta,STRING,S,Nombre cuenta,PRONTO,MEDIA,CAST(src.`nombre_cuenta` AS STRING),CAST(src.`nombre_cuenta` AS STRING) AS `nombre_cuenta`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
7,Proceso,proceso,STRING,S,Proceso,PRONTO,MEDIA,CAST(src.`proceso` AS STRING),CAST(src.`proceso` AS STRING) AS `proceso`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
8,Tipo De Oportunidad,tipo_oportunidad,STRING,S,Tipo De Oportunidad,PRONTO,MEDIA,CAST(src.`tipo_oportunidad` AS STRING),CAST(src.`tipo_oportunidad` AS STRING) AS `tipo_oportunidad`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
9,Importe (convertido) Divisa,importe_convertido_divisa,STRING,N,,PENDENTE,MEDIA,CAST(src.`importe_convertido_divisa` AS STRING),CAST(src.`importe_convertido_divisa` AS STRING) AS `importe_convertido_divisa`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
10,Importe (convertido),importe_convertido,NUMERIC,N,,PENDENTE,MEDIA,SAFE_CAST(src.`importe_convertido` AS NUMERIC),SAFE_CAST(src.`importe_convertido` AS NUMERIC) AS `importe_convertido`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
11,Precio total (convertido) Divisa,precio_total_convertido_divisa,STRING,S,,PARCIAL,MEDIA,CAST(src.`precio_total_convertido_divisa` AS STRING),CAST(src.`precio_total_convertido_divisa` AS STRING) AS `precio_total_convertido_divisa`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
12,Precio total (convertido),precio_total_convertido,NUMERIC,S,,PARCIAL,MEDIA,SAFE_CAST(src.`precio_total_convertido` AS NUMERIC),SAFE_CAST(src.`precio_total_convertido` AS NUMERIC) AS `precio_total_convertido`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
13,Probabilidad (%),probabilidad_porcentaje,NUMERIC,S,,PRONTO,MEDIA,SAFE_CAST(src.`probabilidad_porcentaje` AS NUMERIC),SAFE_CAST(src.`probabilidad_porcentaje` AS NUMERIC) AS `probabilidad_porcentaje`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
14,Periodo fiscal,periodo_fiscal,STRING,S,,PARCIAL,MEDIA,CAST(src.`periodo_fiscal` AS STRING),CAST(src.`periodo_fiscal` AS STRING) AS `periodo_fiscal`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
