Item,Nombre de Columna Original,Nombre de columna para SQL,Tipo de Dato,Característica del Dato,Descripción Funcional,Formula (as IS) en Sheets,Formula (to Be) en SQL,Compliance (S/N),Datalake Xertica (S/N),App Sales Brasil (S/N),Campo Looker/BQ,Riesgo,Observaciones,_match_reason
1,País Cuenta,pais_cuenta,STRING,Origen Salesforce,Jurisdicción geográfica del registro de la cuenta del cliente comercial.,Dato plano,Extracto directo,S,S,N,País Cuenta,,,
2,Nombre de la oportunidad,nombre_oportunidad,STRING,Origen Salesforce,Identificador descriptivo y textual de la oportunidad generada en el CRM.,Dato plano,Extracto directo,S,S,S,Nombre oportunidad,,,overlap2:opportunity name
3,Portafolio,portafolio,STRING,Origen Salesforce,Línea de negocio o agrupación comercial general de los servicios.,Dato plano,Extracto directo,S,N,S,Familia producto,alto,Campo se debe extraer directamente de  SF,exact
4,Etapa,etapa,STRING,Origen Salesforce,Estado secuencial actual en el proceso del ciclo de venta (ej. Calificar).,Dato plano,Extracto directo,S,S,S,Nombre Etapa Opp,," Mantener query: SELECT
    CASE
          WHEN UPPER(fact_oportunidad.NOMBRE_ETAPA_OPORTUNIDAD) = 'CLOSED' THEN 'CIERRE'
          WHEN UPPER(fact_oportunidad.NOMBRE_ETAPA_OPORTUNIDAD) = 'DESCALIFICAR' THEN 'DESCALIFICADA'
          WHEN UPPER(fact_oportunidad.NOMBRE_ETAPA_OPORTUNIDAD) = 'APROBACIÓN POR MONTO O SERVICIO' THEN 'APROBACIÓN DE DEAL DESK'
          ELSE UPPER(fact_oportunidad.NOMBRE_ETAPA_OPORTUNIDAD)
          END AS fact_oportunidad_nombre_etapa_oportunidad
FROM `co-xertica-datalake-prd.presentation.FACT_OPORTUNIDAD`  AS fact_oportunidad",exact
5,Familia de productos,familia_productos,STRING,Origen Salesforce,Categorización de la familia técnica del producto ofrecido.,Dato plano,Extracto directo,S,N,N,Familia producto portafolio,Alto,Campo se debe extraer directamente de  SF,
6,Nombre de la cuenta,nombre_cuenta,STRING,Origen Salesforce,Razón social o nombre comercial asignado a la empresa cliente.,Dato plano,Extracto directo,S,S,S,Nombre cuenta,,,overlap2:account name
7,Proceso,proceso,STRING,Origen Salesforce,Indicador operativo sobre si la transacción corresponde a un esfuerzo de venta nueva o a una retención/mejora (Posventa).,Dato plano,Extracto directo,S,S,S,Proceso,,,exact
8,Tipo De Oportunidad,tipo_oportunidad,STRING,Origen Salesforce,"Clasificación de la naturaleza del acuerdo, distinguiendo renovaciones de negocios adicionales.",Dato plano,Extracto directo,S,S,S,Tipo De Oportunidad,,,exact
9,Importe (convertido) Divisa,importe_convertido_divisa,STRING,Origen Salesforce,Moneda de reporte estandarizada para el importe comercializado.,Dato plano,Extracto directo,S,N,N,,,,
10,Importe (convertido),importe_convertido,NUMERIC,Origen Salesforce,Valor monetario base de la oportunidad convertido a la divisa corporativa.,Dato plano,Extracto directo,S,N,N,,,,
11,Precio total (convertido) Divisa,precio_total_convertido_divisa,STRING,Origen Salesforce,Moneda base del precio total final registrado en el sistema.,Dato plano,Extracto directo,S,N,S,,,,overlap3:total price converted
12,Precio total (convertido),precio_total_convertido,NUMERIC,Origen Salesforce,"Sumatoria monetaria de todas las líneas de productos asociadas, expresada en divisa estándar tras conversiones y descuentos.",Dato plano,Extracto directo,S,N,S,,,,overlap3:total price converted
13,Probabilidad (%),probabilidad_porcentaje,NUMERIC,Origen Salesforce,"Ponderación estadística del cierre exitoso, vinculada usualmente al avance en las etapas de negociación.",Dato plano,Extracto directo,S,S,N,,,,
14,Periodo fiscal,periodo_fiscal,STRING,Origen Salesforce,Denominación del trimestre y año corporativo estipulado para el cierre proyectado de la oportunidad.,Dato plano,Extracto directo,S,N,S,,,,overlap2:fiscal period
15,Cantidad,cantidad_unidades,INT64,Origen Salesforce,"Volumen absoluto de licencias, módulos u horas de servicio especificadas.",Dato plano,Extracto directo,S,S,N,Cantidad,,,
16,Precio de venta Divisa,precio_venta_divisa,STRING,Origen Salesforce,Moneda contractual especificada para el precio unitario del componente.,Dato plano,Extracto directo,S,N,N,,,,
17,Precio de venta,precio_venta,NUMERIC,Origen Salesforce,Tarifa unitaria acordada para el producto o servicio específico en moneda original.,Dato plano,Extracto directo,S,N,N,Precio de venta,,,
18,Precio de venta (convertido) Divisa,precio_venta_convert_divisa,STRING,Origen Salesforce,Moneda de reporte tras la conversión del valor unitario.,Dato plano,Extracto directo,S,N,N,,,,
19,Precio de venta (convertido),precio_venta_convertido,NUMERIC,Origen Salesforce,Representación en divisa estándar de la tarifa unitaria acordada.,Dato plano,Extracto directo,S,N,S,,,,overlap2:total price converted
20,Precio total Divisa,precio_total_divisa,STRING,Origen Salesforce,Denominación monetaria original sobre el monto consolidado de la línea de oportunidad.,Dato plano,Extracto directo,S,N,S,,,,overlap2:total price converted
21,Precio total,precio_total,NUMERIC,Origen Salesforce,Agregado financiero bruto resultante del producto de la cantidad y su respectivo precio de venta antes de homogeneizaciones.,Producto aritmético,cantidad_unidades * precio_venta,S,S,S,Total Precio Producto,,"SELECT
    COALESCE(SUM(CASE WHEN (( UPPER(fact_oportunidad.FORECAST_OPORTUNIDAD)  ) IN ('COMMITTED', 'UPSIDE')) THEN fact_oportunidad.PRECIO_TOTAL_PRODUCTO_OPORTUNIDAD  ELSE NULL END), 0) AS fact_oportunidad_total_precio_producto
FROM `co-xertica-datalake-prd.presentation.FACT_OPORTUNIDAD`  AS fact_oportunidad
LIMIT 500",overlap2:total price converted
