item,campo_origem,campo_sql,tipo_dado,caracteristica_dado,descricao_funcional,calculo_sheets_as_is,calculo_bq_to_be_original,calculo_bq_final,tipo_calculo_bq,bq_alias_origem,bq_coluna_resultado,compliance_sn,datalake_xertica_sn,app_sales_brasil_sn,campo_looker_bq,status_implementacao,prioridade_implantacao,risco,observacoes_negocio,dataset_referencia,tabela_referencia,create_view_select_expr,prompt_ia_base,criterios_avaliacao_ia,gates_governanca_aplicados,saida_json_esperada_ia,fonte_regra_codigo,prompt_open_literal_completo,prompt_closed_literal_completo,regras_ouro_open_literal,json_schema_open_literal,json_schema_closed_literal,validado_bq_sn,validado_app_headers_sn,app_sales_validado_sn,evidencia_validacao
1,País Cuenta,pais_cuenta,STRING,Origen Salesforce,Jurisdicción geográfica del registro de la cuenta del cliente comercial.,Dato plano,Extracto directo,CAST(src.`pais_cuenta` AS STRING),DIRECT,src,pais_cuenta,S,S,N,País Cuenta,PRONTO,MEDIA,,,operaciones-br.sales_intelligence,pipeline,CAST(src.`pais_cuenta` AS STRING) AS `pais_cuenta`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
2,Nombre de la oportunidad,nombre_oportunidad,STRING,Origen Salesforce,Identificador descriptivo y textual de la oportunidad generada en el CRM.,Dato plano,Extracto directo,CAST(src.`nombre_oportunidad` AS STRING),DIRECT,src,nombre_oportunidad,S,S,N,Nombre oportunidad,PRONTO,MEDIA,,,operaciones-br.sales_intelligence,pipeline,CAST(src.`nombre_oportunidad` AS STRING) AS `nombre_oportunidad`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
3,Portafolio,portafolio,STRING,Origen Salesforce,Línea de negocio o agrupación comercial general de los servicios.,Dato plano,Extracto directo,CAST(src.`portafolio` AS STRING),DIRECT,src,portafolio,S,N,N,Familia producto,PRONTO,ALTA,alto,Campo se debe extraer directamente de  SF,operaciones-br.sales_intelligence,pipeline,CAST(src.`portafolio` AS STRING) AS `portafolio`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
4,Etapa,etapa,STRING,Origen Salesforce,Estado secuencial actual en el proceso del ciclo de venta (ej. Calificar).,Dato plano,Extracto directo,CAST(src.`etapa` AS STRING),DIRECT,src,etapa,S,S,N,Nombre Etapa Opp,PRONTO,MEDIA,,"Mantener query: SELECT
    CASE
          WHEN UPPER(fact_oportunidad.NOMBRE_ETAPA_OPORTUNIDAD) = 'CLOSED' THEN 'CIERRE'
          WHEN UPPER(fact_oportunidad.NOMBRE_ETAPA_OPORTUNIDAD) = 'DESCALIFICAR' THEN 'DESCALIFICADA'
          WHEN UPPER(fact_oportunidad.NOMBRE_ETAPA_OPORTUNIDAD) = 'APROBACIÓN POR MONTO O SERVICIO' THEN 'APROBACIÓN DE DEAL DESK'
          ELSE UPPER(fact_oportunidad.NOMBRE_ETAPA_OPORTUNIDAD)
          END AS fact_oportunidad_nombre_etapa_oportunidad
FROM `co-xertica-datalake-prd.presentation.FACT_OPORTUNIDAD`  AS fact_oportunidad",operaciones-br.sales_intelligence,pipeline,CAST(src.`etapa` AS STRING) AS `etapa`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
5,Familia de productos,familia_productos,STRING,Origen Salesforce,Categorización de la familia técnica del producto ofrecido.,Dato plano,Extracto directo,CAST(src.`familia_productos` AS STRING),DIRECT,src,familia_productos,S,N,N,Familia producto portafolio,PRONTO,ALTA,Alto,Campo se debe extraer directamente de  SF,operaciones-br.sales_intelligence,pipeline,CAST(src.`familia_productos` AS STRING) AS `familia_productos`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
6,Nombre de la cuenta,nombre_cuenta,STRING,Origen Salesforce,Razón social o nombre comercial asignado a la empresa cliente.,Dato plano,Extracto directo,CAST(src.`nombre_cuenta` AS STRING),DIRECT,src,nombre_cuenta,S,S,N,Nombre cuenta,PRONTO,MEDIA,,,operaciones-br.sales_intelligence,pipeline,CAST(src.`nombre_cuenta` AS STRING) AS `nombre_cuenta`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
7,Proceso,proceso,STRING,Origen Salesforce,Indicador operativo sobre si la transacción corresponde a un esfuerzo de venta nueva o a una retención/mejora (Posventa).,Dato plano,Extracto directo,CAST(src.`proceso` AS STRING),DIRECT,src,proceso,S,S,N,Proceso,PRONTO,MEDIA,,,operaciones-br.sales_intelligence,pipeline,CAST(src.`proceso` AS STRING) AS `proceso`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
8,Tipo De Oportunidad,tipo_oportunidad,STRING,Origen Salesforce,"Clasificación de la naturaleza del acuerdo, distinguiendo renovaciones de negocios adicionales.",Dato plano,Extracto directo,CAST(src.`tipo_oportunidad` AS STRING),DIRECT,src,tipo_oportunidad,S,S,N,Tipo De Oportunidad,PRONTO,MEDIA,,,operaciones-br.sales_intelligence,pipeline,CAST(src.`tipo_oportunidad` AS STRING) AS `tipo_oportunidad`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
9,Importe (convertido) Divisa,importe_convertido_divisa,STRING,Origen Salesforce,Moneda de reporte estandarizada para el importe comercializado.,Dato plano,Extracto directo,CAST(src.`importe_convertido_divisa` AS STRING),DIRECT,src,importe_convertido_divisa,S,N,N,,PENDENTE,MEDIA,,,operaciones-br.sales_intelligence,pipeline,CAST(src.`importe_convertido_divisa` AS STRING) AS `importe_convertido_divisa`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
10,Importe (convertido),importe_convertido,NUMERIC,Origen Salesforce,Valor monetario base de la oportunidad convertido a la divisa corporativa.,Dato plano,Extracto directo,SAFE_CAST(src.`importe_convertido` AS NUMERIC),DIRECT,src,importe_convertido,S,N,N,,PENDENTE,MEDIA,,,operaciones-br.sales_intelligence,pipeline,SAFE_CAST(src.`importe_convertido` AS NUMERIC) AS `importe_convertido`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
11,Precio total (convertido) Divisa,precio_total_convertido_divisa,STRING,Origen Salesforce,Moneda base del precio total final registrado en el sistema.,Dato plano,Extracto directo,CAST(src.`precio_total_convertido_divisa` AS STRING),DIRECT,src,precio_total_convertido_divisa,S,N,N,,PARCIAL,MEDIA,,,operaciones-br.sales_intelligence,pipeline,CAST(src.`precio_total_convertido_divisa` AS STRING) AS `precio_total_convertido_divisa`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
12,Precio total (convertido),precio_total_convertido,NUMERIC,Origen Salesforce,"Sumatoria monetaria de todas las líneas de productos asociadas, expresada en divisa estándar tras conversiones y descuentos.",Dato plano,Extracto directo,SAFE_CAST(src.`precio_total_convertido` AS NUMERIC),DIRECT,src,precio_total_convertido,S,N,N,,PARCIAL,MEDIA,,,operaciones-br.sales_intelligence,pipeline,SAFE_CAST(src.`precio_total_convertido` AS NUMERIC) AS `precio_total_convertido`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
13,Probabilidad (%),probabilidad_porcentaje,NUMERIC,Origen Salesforce,"Ponderación estadística del cierre exitoso, vinculada usualmente al avance en las etapas de negociación.",Dato plano,Extracto directo,SAFE_CAST(src.`probabilidad_porcentaje` AS NUMERIC),DIRECT,src,probabilidad_porcentaje,S,S,N,,PRONTO,MEDIA,,,operaciones-br.sales_intelligence,pipeline,SAFE_CAST(src.`probabilidad_porcentaje` AS NUMERIC) AS `probabilidad_porcentaje`,N/A (campo base de dados; usado indiretamente no contexto analítico quando aplicável).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,SEM_EVIDENCIA
