Run ID,Oportunidade,Conta,Perfil Cliente,Vendedor,Gross,Net,Portfólio,Segmento,Família Produto,Status,Fiscal Q,Data Fechamento,Ciclo (dias),Produtos,📝 Resumo Análise,🎯 Causa Raiz,⚠️ Causas Secundárias,Tipo Resultado,Evitável?,🚨 Sinais Alerta,Momento Crítico,💡 Lições Aprendidas,# Atividades,Ativ. 7d,Ativ. 30d,Distribuição Tipos,Período Pico,Cadência Média (dias),# Total Mudanças,# Mudanças Críticas,Mudanças Close Date,Mudanças Stage,Mudanças Valor,Campos + Alterados,Padrão Mudanças,Freq. Mudanças,# Editores,🏷️ Labels,🕐 Última Atualização
2026-02-02T07:27:01.203Z,SNSB-129243--[GCP] Sebrae Nacional_PrestContas - 7° Sprint-X2,SEBRAE NACIONAL - SERVICO BRASILEIRO DE APOIO AS MICRO E PEQUENAS EMPRESAS,BASE INSTALADA,Carlos Moll,0,0,-,Gobierno,GCP Services,PERDA,FY26-Q2,02/05/2026,311,Servicios Profesionales GCP Data,"A perda foi causada por uma mudança drástica no escopo do projeto (Sprint 7) por parte do cliente, que resultou na desqualificação da solução proposta e na alegação de falta de orçamento/interesse. O deal foi abandonado por 119 dias após a sinalização da mudança, impedindo qualquer tentativa de requalificação ou resgate da oportunidade.",Má Qualificação e Gestão Inadequada da Mudança de Escopo. O deal foi abandonado após a incerteza do cliente.,"Abandono do Deal (119 dias de inatividade), Falta de alinhamento entre o Champion interno (PO Xertica) e a nova direção do cliente, Incapacidade de definir o novo escopo e orçamento (Valor 0)",MA_QUALIFICACAO,PARCIALMENTE,"Mudança de escopo drástica ('algo fora do contexto inicial'), Inatividade prolongada (119 dias) após a incerteza do escopo, Champion interno sem informações detalhadas sobre a nova necessidade do cliente","Após a documentação do 7º sprint, quando o cliente sinalizou a mudança de escopo. O deal deveria ter sido requalificado ou fechado imediatamente, mas foi abandonado.",Implementar um processo de requalificação imediata (BANT/MEDDIC) sempre que houver uma mudança significativa de escopo em projetos de base instalada. Não permitir inatividade superior a 30 dias em deals com incerteza de requisitos. Garantir acesso ao Economic Buyer para validar o novo orçamento.,4,0,0,"Reuniones / Videoconferencia(3), Outro(1)",2025-10 (1 atividades),70,0,0,0,0,0,N/A,SEM DADOS,N/A,0,"MUDANCA ESCOPO, ABANDONO, FALTA BUDGET, BASE INSTALADA",
2026-02-02T07:27:01.203Z,SNSB-132729--[GCP] Sebrae Nacional_PrestContas - 6° Sprint (Melhorias),SEBRAE NACIONAL - SERVICO BRASILEIRO DE APOIO AS MICRO E PEQUENAS EMPRESAS,BASE INSTALADA,Carlos Moll,0,0,-,Gobierno,GCP Services,PERDA,FY26-Q2,02/05/2026,266,Servicios Profesionales GCP Data,"O deal foi perdido devido a um abandono prolongado (298 dias de inatividade), o que levou o cliente a despriorizar o projeto. A causa raiz não foi preço ou concorrência externa, mas sim a falha em garantir o orçamento e o compromisso formal do cliente (emissão da Ordem de Serviço), resultando na perda de interesse.",Abandono do Deal e Má Gestão do Follow-up,"Má Qualificação (falha em garantir o orçamento/compromisso formal), Falta de Champion Ativo para impulsionar a emissão da Ordem de Serviço, Mudança de Prioridade Interna do Cliente (refletida na falta de orçamento)",ABANDONO,SIM,"298 dias de inatividade (deal zumbi), Cliente não emitiu a Ordem de Serviço (OS) conforme prometido, Deal travado em 0% (sem valor definido) por quase um ano","Fase de Formalização/Compromisso (após o escopo ser definido, o cliente falhou em emitir a Ordem de Serviço).","Implementar um processo rigoroso de gestão de deals que dependem de ação formal do cliente (ex: emissão de OS). Se a ação não ocorrer em 30-60 dias, o deal deve ser fechado como 'No Project' ou requalificado, evitando o acúmulo de oportunidades inativas.",1,0,0,Reuniones / Videoconferencia(1),2025-04 (1 atividades),N/A,0,0,0,0,0,N/A,SEM DADOS,N/A,0,"ABANDONO, MA GESTAO, FALTA DE PRIORIDADE, BASE INSTALADA",
2026-02-02T07:27:01.203Z,SNSB-129976--[GCP] SEBRAE NACIONAL_Atendimentos do novo Portal Sebrae-X1,SEBRAE NACIONAL - SERVICO BRASILEIRO DE APOIO AS MICRO E PEQUENAS EMPRESAS,BASE INSTALADA,Carlos Moll,0,0,-,Gobierno,GCP Consumption,PERDA,FY26-Q2,02/05/2026,268,GCP Consumo,"O deal foi desqualificado (0%) devido à má qualificação inicial, caracterizada pela ausência de um projeto concreto, valor financeiro (Valor = 0) e escopo definido. A oportunidade parece ter sido gerada a partir de uma consulta exploratória sobre ferramentas de cálculo de preço, indicando que não havia uma dor de negócio imediata a ser resolvida.","Má Qualificação (Oportunidade criada sem valor, escopo ou dor de negócio definidos)","Abandono/Inatividade (81 dias) após a qualificação falha, Ausência de Champion ou Sponsor, Foco em ferramentas exploratórias (calculadoras) em vez de um projeto de negócio",MA_QUALIFICACAO,SIM,"Valor da oportunidade zerado (0), Motivo de perda: Descalificada na fase 0%, Descrição vaga focada em ferramentas de cálculo de preço, Alta inatividade (81 dias) após poucas ações (3)",Na fase de Qualificação (0%). O deal nunca deveria ter sido promovido a uma oportunidade de vendas.,"Reforçar o gate de qualificação (especialmente Metrics e Implicate the Pain do MEDDIC) para leads gerados por interesse em ferramentas de cálculo. Oportunidades com valor zero ou foco puramente exploratório devem ser tratadas como leads de marketing ou nurturing, não como deals de vendas ativos.",3,0,0,"Reuniones / Videoconferencia(2), Outro(1)",2025-09 (2 atividades),24,0,0,0,0,0,N/A,SEM DADOS,N/A,0,"MA QUALIFICACAO, VALOR ZERO, DESQUALIFICADA, ABANDONO INICIAL, FALHA MEDDIC",
2026-02-02T07:27:01.203Z,#M25_MPDE-123812--Migração Parcial M365 para GWS,MPMG,BASE INSTALADA,Alexsandra Junqueira,100185,28313.25,-,Gobierno,GWS Licensing | GWS Services | MSP Services,PERDA,FY26-Q4,30/10/2026,484,Nueva Google Vault | Nueva Google Workspace Enterprise Plus | Nueva Google Workspace Enterprise Standard | Servicios de Implementación Workspace | MSP / Enable / Precio Standard Mensual 5x8 - 10 Tickets,"A oportunidade foi perdida porque o cliente decidiu manter o status quo, não substituindo a licença principal do M365. O deal falhou na qualificação inicial, pois a premissa de migração total era inválida, e a inatividade de 92 dias sugere que a oportunidade foi abandonada após a confirmação da manutenção do concorrente.",Manutenção do Status Quo (M365 Incumbente) e Falha Crítica na Qualificação/Re-qualificação do Escopo.,"Inatividade prolongada (92 dias) após a confirmação da manutenção do M365., Timing inadequado: A decisão de renovação do M365 (Out/25) já havia sido tomada., Ausência de um Champion forte o suficiente para desafiar a plataforma incumbente.",OUTRO,PARCIALMENTE,"92 dias de inatividade, indicando abandono ou falta de interesse do cliente., Descrição do CRM confirmando que 'Nao sera substituido o M365'., O vencimento do M365 (Out/25) já havia passado, indicando que a decisão estratégica já estava consolidada.",Qualificação/Descoberta. O deal deveria ter sido desqualificado ou re-escopado drasticamente no momento em que o cliente comunicou que o M365 não seria substituído.,"Em deals de displacement, validar a data de renovação do concorrente e a intenção real de substituição antes de investir tempo. Se o cliente reduzir o escopo drasticamente, re-qualificar imediatamente ou fechar o deal para evitar o 'zombie deal'.",5,0,0,"Reuniones / Videoconferencia(4), Outro(1)",2025-06 (2 atividades),42,0,0,0,0,0,N/A,SEM DADOS,N/A,0,"M365 INCUMBENTE, MA QUALIFICACAO, INATIVIDADE",
2026-02-02T07:27:01.203Z,MSDT-138796--Adicional_Setor_Leste_CNPJ21,Missão Sal Da Terra,BASE INSTALADA,Alex Araujo,132,15,-,SB,GWS Licensing,Perdida,FY26-Q1,28-02-2026,39,Adicional Google Workspace Enterprise Starter,"A oportunidade, de baixo valor e focada em um adicional de produto, foi perdida devido à falta total de engajamento e follow-up (0 atividades registradas). O motivo de perda ('sem orçamento/interesse') reflete a baixa prioridade do cliente e a má qualificação inicial do deal, que foi abandonado logo após sua criação.",Abandono do Deal e Má Qualificação Inicial,"Baixa prioridade do cliente para o adicional (refletido em 'sem orçamento'), Ausência de Champion ou Sponsor identificado, Falta de processo de follow-up mínimo para deals de baixo valor",ABANDONO,SIM,"Zero atividades registradas no CRM, Deal permaneceu em 0% (Perdida) sem histórico de progresso, Motivo de perda genérico ('sem interesse/orçamento') para um produto de baixo custo","Criação do Deal (Oportunidade foi criada, mas nunca engajada ou qualificada)",Deals de baixo valor devem ser rapidamente qualificados (ou desqualificados) para evitar 'lixo' no pipeline. É obrigatório registrar pelo menos uma atividade de follow-up ou contato inicial para validar o interesse antes de criar a oportunidade no CRM.,0,0,0,N/A,N/A,N/A,0,0,0,0,0,N/A,SEM DADOS,N/A,0,"ABANDONO CRM, MA QUALIFICACAO, BAIXA PRIORIDADE, BASE INSTALADA",
2026-02-02T07:27:01.203Z,#M25 #SPRINT2 #VERTEX AI -PCDE-126519-Parecer de Laudos para Instituto de Criminalistica,PCMG,BASE INSTALADA,Alexsandra Junqueira,389800,315880,-,Gobierno,Aceleradores | GCP Services | GCP Consumption,Perdida,FY26-Q2,30-06-2026,360,Resumo de documentos | Pesquisa Contextual | Servicios Profesionales GCP Data | GCP Consumo,"O deal foi perdido devido à falta de engajamento do cliente e subsequente abandono, evidenciado por 57 dias de inatividade e a ausência de resposta. A qualificação inicial foi insuficiente, falhando em estabelecer um Champion interno e garantir que a solução de IA fosse uma prioridade urgente para o PCMG.",Abandono do Deal e Má Qualificação (falha em estabelecer Champion e urgência),"Falta de Champion/Sponsor interno, Engajamento insuficiente (baixa cadência de atividades), Inércia do Cliente (Baixa Prioridade)",ABANDONO,SIM,"57 dias de inatividade (abandono iminente), Motivo da perda: 'No responde, No contesta', Perda na Fase CRM 0% (indica falha na qualificação inicial)",Fase de Qualificação/Prospecção Inicial. O deal morreu antes de qualquer progresso significativo.,"Implementar um processo de desqualificação rigoroso para deals inativos (ex: desqualificar proativamente após 30 dias sem resposta). Priorizar a identificação e validação do Champion e do Processo de Decisão (MEDDIC) antes de investir tempo em propostas técnicas, especialmente em contas de base instalada.",6,0,0,"Reuniones / Videoconferencia(5), Outro(1)",2025-09 (2 atividades),31,0,0,0,0,0,N/A,SEM DADOS,N/A,0,"ABANDONO, MA QUALIFICACAO, FALTA CHAMPION, SETOR PUBLICO",
2026-02-02T07:27:01.203Z,SDED-129991--Cadastro Inteligente de Visitas ao Sistema Prisional,SEJUSP-MG,NOVO CLIENTE,Alexsandra Junqueira,342000,236400,-,Gobierno,Aceleradores | GCP Consumption | GCP Services | MSP Services,Perdida,FY26-Q2,29-05-2026,264,Aplicativo de bot e acelerador CCAI | Acelerador para Integração e Consolidação de Dados | GCP Consumo | Servicios Profesionales GCP Data | Soporte / Enable / Precio Standard Mensual 5x8 - 10 Tickets,"O negócio foi perdido na fase inicial (0%) devido à completa falta de engajamento do cliente (ghosting), evidenciada por 35 dias de inatividade e apenas duas ações registradas. A causa raiz aponta para uma má qualificação inicial e a ausência de um Champion ou Patrocinador Econômico na SEJUSP-MG.",Falta de Champion/Patrocinador e Má Qualificação Inicial (MEDDIC Gaps),"Baixa cadência de atividades e abandono prematuro do deal, Inércia típica do setor público (SEJUSP-MG) sem um contato interno forte, Falha em validar a urgência e o orçamento (BANT/MEDDIC)",SEM_CHAMPION,SIM,"Perda na fase 0% (indica falha na qualificação), 35 dias de inatividade (ghosting), Apenas 2 ações registradas para um deal de R$ 342k, Motivo de perda: 'No responde, No contesta'",Qualificação Inicial (Fase 0%). O deal morreu antes de qualquer validação de necessidade ou orçamento.,"Implementar um processo de qualificação mais rigoroso (foco em Champion e Economic Buyer) antes de registrar o deal no CRM. Para novos clientes do setor público, aumentar a cadência de follow-up inicial e desqualificar rapidamente se o contato não for estabelecido ou se houver ghosting superior a 15 dias, evitando o desperdício de recursos em oportunidades frias.",2,0,0,"Reuniones / Videoconferencia(1), Outro(1)",2025-12 (1 atividades),152,0,0,0,0,0,N/A,SEM DADOS,N/A,0,"GHOSTING, MA QUALIFICACAO, NOVO CLIENTE, SETOR PUBLICO, FALTA DE CHAMPION",
2026-02-02T07:27:01.203Z,CDTD-133693--AgentSpace com Geração de Documento,PRODEMGE,NOVO CLIENTE,Alexsandra Junqueira,158400,111227,-,Gobierno,GCP Consumption | Aceleradores | GCP Services,Perdida,FY26-Q1,31-03-2026,186,Google Agentspace Enterprise Plus | GCP Consumo | Resumo de documentos | Servicios Profesionales GCP Data,"A oportunidade foi perdida na fase inicial (0%) e desqualificada, indicando uma falha fundamental na qualificação do cliente PRODEMGE, que é um novo cliente. A complexidade da solução (AgentSpace + Geração de Documento) exigia um Champion e uma dor validada que não foram estabelecidos, resultando na descontinuação precoce do projeto.","Má Qualificação (Falha em validar o fit, urgência e o Economic Buyer antes de abrir a oportunidade no CRM).","Falta de Sponsor/Champion identificado para impulsionar a solução de IA., Timing inadequado (o cliente pode não estar pronto para a adoção de AgentSpace/IA)., Baixo volume de atividades para um novo cliente com uma solução complexa.",MA_QUALIFICACAO,SIM,"Perda em 0% (Desqualificação imediata)., Novo Cliente (risco inerente de qualificação e fit)., Solução complexa (AgentSpace) sem histórico de engajamento prévio.",Fase de Descoberta/Qualificação Inicial (Gate 0%).,"Implementar um gate de qualificação rigoroso (MEDDIC/BANT) para novos clientes, especialmente em soluções de alto valor e complexidade (IA/AgentSpace). Não abrir o deal no CRM antes de validar a Implicação da Dor (I) e o Champion (C).",6,2,3,"Reuniones / Videoconferencia(5), Outro(1)",2025-10 (2 atividades),50,0,0,0,0,0,N/A,SEM DADOS,N/A,0,"QUALIFICACAO FALHA, PERDA 0 PORCENTO, NOVO CLIENTE, AGENTSPACE",
2026-02-02T07:27:01.203Z,MPDE-134063--GAECIBER > Litigancia Abusiva (Predatoria),MPMG,BASE INSTALADA,Alexsandra Junqueira,194800,178960,-,Gobierno,Aceleradores | GCP Consumption | GCP Services | MSP Services,Perdida,FY26-Q2,30-04-2026,416,Resumo de documentos | GCP Consumo | Servicios Profesionales GCP Data | MSP / Enable / Precio Standard Mensual 5x8 - 10 Tickets,"A oportunidade foi perdida e desqualificada imediatamente (0% de fase) devido à ausência total de engajamento e atividade (0 ações). Isso indica que o escopo complexo (MPMG e empresas privadas) não foi validado ou que a necessidade não estava madura, resultando em uma má qualificação inicial e abandono precoce.",Má Qualificação (Deal imaturo) e Abandono Precoce (Zero Atividade),"Falta de Champion/Sponsor interno validado, Complexidade da estrutura de decisão (GAECIBER + Empresas Privadas), Ausência de follow-up e cadência de atividades",MA_QUALIFICACAO,SIM,"Zero atividade registrada no CRM, Perda na fase 0% (registro) com motivo 'Descalificada', Inatividade de 'SEM REGISTRO' dias",Registro inicial/Qualificação (O deal morreu antes de começar),"Implementar um gate de qualificação rigoroso (MEDDIC) para deals complexos, exigindo a identificação do Champion e do Processo de Decisão antes do registro. Deals com zero atividade devem ser revisados e desqualificados proativamente em 7 dias, não abandonados.",0,0,0,N/A,N/A,N/A,0,0,0,0,0,N/A,SEM DADOS,N/A,0,"QUALIFICACAO FALHA, ZERO ATIVIDADE, ABANDONO PRECOCE, COMPLEXIDADE STAKEHOLDERS",
2026-02-02T07:27:01.203Z,SSDD-131623-SEDEC - MarketPlace de Produtores,SEDEC - Secretaria de Desenvolvimento Econômico,NOVO CLIENTE,Carlos Moll,200000,129600,-,Gobierno,Aceleradores | GCP Consumption | GCP Services,Perdida,FY26-Q2,30-05-2026,288,Virtual Career Center - MATCH VAGAS | Virtual Career Center - MATCH CANDIDATOS | Virtual Career Center - GERAÇÃO CV | GCP Consumo Nuevo | Servicios Profesionales GCP Data,"A oportunidade foi perdida devido à má qualificação inicial de um projeto complexo (Marketplace customizado) para um novo cliente (SEDEC). A falta de um Champion interno e a ausência de engajamento resultaram em um abandono total do deal, evidenciado pela inatividade de 174 dias e o motivo de perda 'No responde'.","Má Qualificação (falha em identificar urgência, budget e Champion) e Abandono do Deal (falta de follow-up estruturado).","Falta de Champion/Sponsor que pudesse impulsionar o projeto internamente, Complexidade da solução (customização do VCC para Marketplace) versus maturidade do cliente, Gestão de pipeline deficiente, permitindo 174 dias de inatividade",MA_QUALIFICACAO,SIM,"Inatividade extrema (174 dias) com apenas 1 ação registrada, Motivo de perda 'No responde/No contesta' (clássico sintoma de ghosting/falta de Champion), Perda na fase 0% (indica que a qualificação foi superficial ou inexistente), Solução altamente customizada para um NOVO CLIENTE",Imediatamente após a primeira ação/apresentação inicial. O deal morreu por inanição e falta de interesse validado.,"Implementar um processo de qualificação mais rigoroso (MEDDIC) para projetos complexos e novos clientes, garantindo a identificação do Economic Buyer e do Champion. Estabelecer um limite máximo de inatividade (ex: 30-45 dias) para fechar deals que apresentem ghosting, evitando que oportunidades 'mortas' poluam o pipeline.",1,0,0,Reuniones / Videoconferencia(1),2025-08 (1 atividades),N/A,0,0,0,0,0,N/A,SEM DADOS,N/A,0,"MA QUALIFICACAO, GHOSTING, FALTA CHAMPION",
