Run ID,Oportunidade,Conta,Perfil,Produtos,Vendedor,Gross,Net,Fase Atual,Forecast SF,Fiscal Q,Data Prevista,Ciclo (dias),Dias Funil,Atividades,Atividades (Peso),Mix Atividades,Idle (Dias),Qualidade Engajamento,Forecast IA,Confiança (%),Motivo Confiança,MEDDIC Score,MEDDIC Gaps,MEDDIC Evidências,BANT Score,BANT Gaps,BANT Evidências,Justificativa IA,Regras Aplicadas,Incoerência Detectada,Perguntas de Auditoria IA,Flags de Risco,Gaps Identificados,Cód Ação,Ação Sugerida,Risco Principal,# Total Mudanças,# Mudanças Críticas,Mudanças Close Date,Mudanças Stage,Mudanças Valor,🚨 Anomalias Detectadas,Velocity Predição,Velocity Detalhes,Território Correto?,Vendedor Designado,Estado/Cidade Detectado,Fonte Detecção,Calendário Faturação,Valor Reconhecido Q1,Valor Reconhecido Q2,Valor Reconhecido Q3,Valor Reconhecido Q4,🕐 Última Atualização
2026-01-30T03:44:20.275Z,ADDU-115803--[GWS] AGU_Contratação GWS_Enterprise Plus-X2,Advocacia-Geral da União,NOVO CLIENTE,Nueva App Sheet Enterprise Standard | Nueva Google Workspace Enterprise Plus | Nueva Google Workspace Enterprise Standard | Nueva Google Workspace Enterprise Starter | Nueva Google Workspace Frontline | Servicios de Implementación Workspace,Carlos Moll,35824.53,15164.91,Aprobación de Deal Desk,Upside,FY26-Q1,27/02/2026,547,524,7,6.2,Reuniones / Videoconferencia:5,14,MÉDIA,PIPELINE,45,"Apesar de estar em fase avançada (65%), o fechamento é irrealista para 27/02/2026, pois o negócio depende da publicação de um Edital de processo público, um marco ainda pendente.",16,"Metrics, Buyer, Process, Pain, Champion",Criteria,50,"Authority, Need","Budget, Timing","O deal é de Governo e está marcado como 'PROCESSO PÚBLICO DETECTADO'. A descrição indica que o cliente 'publicará' o processo, sugerindo que o Edital ainda não foi lançado. O fechamento está previsto para o próximo mês, o que é incompatível com o ciclo de compras governamentais que se inicia após a publicação do Edital. Há 14 dias de inatividade, mas as atividades recentes focam no acompanhamento do processo de publicação do Edital (próximo marco). O flag 'BANT AUSENTE' e 'DERIVA DE FASE DETECTADA' indicam problemas estruturais na qualificação, apesar da fase alta ('Aprobación de Deal Desk').",GOVERNO DETECTADO | QUALIFICAÇÃO BANT AUSENTE | DERIVA FASE: Fase avançada sem atividade recente e sem próximo passo definido,OK,O Deal Desk já aprovou formalmente o pricing e os termos para este processo público? | Qual é a data exata esperada para a publicação do Edital de contratação? | Qual é o plano de contingência caso o Edital atrase ou o processo seja contestado?,"PROCESSO PÚBLICO DETECTADO, BANT AUSENTE, GOVERNO, DERIVA DE FASE DETECTADA, QUALIFICAÇÃO BANT AUSENTE, OPORTUNIDADE ESTRATÉGICA GTM 2026","Data de fechamento irrealista devido à dependência do marco 'EDITAL' (processo público)., Qualificação BANT ausente, dificultando a compreensão da urgência e do orçamento real do cliente., Status de aprovação do Deal Desk desconhecido, apesar da fase atual.",REQUALIFICAR,Revalidar a data de fechamento (27/02/2026) e ajustar o pipeline para refletir o tempo necessário para a publicação do Edital e o subsequente processo de Ata de Registro de Preços.,"Atraso significativo no ciclo de vendas devido à natureza do processo público (Edital/ARP), tornando o fechamento em fevereiro improvável.",28,0,0,5,7,5 editores diferentes | Valor alterado 7x | Stage alterado 5x - vai-e-vem,ESTÁVEL (Risco:50%),Fase:180d | Valor:0%/d | Ativ:0%,Sim,CARLOS MOLL,Distrito Federal,CRM,MENSAL x 1 ano,2985.38,8956.13,8956.13,8956.13,1/30/2026
2026-01-30T03:44:20.275Z,ADDU-127871--#Sprint2 #Vertex AI [GCP] AGU_AgentSpace,Advocacia-Geral da União,NOVO CLIENTE,Google Agentspace Enterprise,Carlos Moll,42100,39293.33,Evaluación,Pipeline,FY26-Q3,13/08/2026,441,251,0,0,-,SEM REGISTRO,BAIXA,PIPELINE,15,"Confiança muito baixa devido à ausência total de atividades, descrição vazia e múltiplas bandeiras de estagnação e qualificação ausente (BANT).",0,"Metrics, Buyer, Criteria, Process, Pain, Champion",-,0,"Budget, Authority, Need, Timing",-,"O negócio está estagnado (0 ações, 0 atividade ponderada) e carece de qualquer evidência de engajamento ou qualificação, conforme indicado pelas flags 'ALERTA DE ESTAGNAÇÃO' e 'QUALIFICAÇÃO BANT AUSENTE'. A data de fechamento foi postergada de Março para Agosto de 2026, indicando falta de controle sobre o pipeline. A fase de 'Evaluación' (20%) é insustentável sem registro de atividades.",HARD GATE: Deal com >90 dias e <3 atividades. Sugerido arquivamento. | VELOCITY: DEAL ESTAGNADO | OPORTUNIDADE ESTAGNADA | QUALIFICAÇÃO BANT AUSENTE,OK,"Qual é o status atual do projeto #Sprint2 #Vertex AI com a Advocacia-Geral da União? | Qual é a evidência de que o cliente está ativamente na fase de 'Evaluación'? | Quais são os critérios BANT (Budget, Authority, Need, Timeline) documentados para este negócio?","DESQUALIFICAÇÃO PRECOCE, ALERTA DE ESTAGNAÇÃO, BANT AUSENTE, QUALIFICAÇÃO BANT AUSENTE, OPORTUNIDADE ESTRATÉGICA GTM 2026","Zero atividade registrada (0 ações), Descrição CRM vazia, Qualificação BANT ausente (flag do sistema), Slippage significativo da data de fechamento (Mar/26 para Ago/26).",ENCERRAR-INATIVO,"O proprietário deve imediatamente atualizar a descrição, registrar o BANT completo e agendar a próxima reunião. Se não houver evidência de engajamento ou qualificação em 7 dias, a oportunidade deve ser encerrada como perdida (ENCERRAR-INATIVO).",Estagnação e risco de perda por inatividade e falta de qualificação básica.,8,0,0,1,1,OK,ESTAGNADO (Risco:90%),Fase:0d | Valor:0%/d | Ativ:0%,Sim,CARLOS MOLL,Distrito Federal,CRM,-,,,,,1/30/2026
2026-01-30T03:44:20.275Z,ADDU-115802--[GWS] AGU_Integração Office 365_Mio,Advocacia-Geral da União,NOVO CLIENTE,PSF Workspace,Carlos Moll,200000,200000,Propuesta,Upside,FY26-Q1,27/02/2026,547,524,5,5,Reuniones / Videoconferencia:5,50,ALTA,POTENCIAL,50,"O engajamento recente foi estratégico, mas a inatividade de 50 dias e o prazo de fechamento iminente (27/02/2026) para um processo público complexo reduzem a confiança.",32,"Metrics, Buyer, Pain, Champion","Criteria, Process",25,"Budget, Authority, Need",Timing,"O negócio está na fase de Proposta (60%) e envolve um processo público (EDITAL). A descrição do CRM está desatualizada (mencionando ARP para 2025). Embora as atividades recentes mostrem discussões estratégicas sobre a resolução de obstáculos do edital (qualificação técnica), a inatividade de 50 dias é crítica, especialmente com o fechamento previsto para daqui a 28 dias. A data de fechamento é irrealista para o estágio e inatividade.",GOVERNO DETECTADO | QUALIFICAÇÃO BANT AUSENTE,OK,"Qual é o status atual do EDITAL após a discussão sobre atestados de qualificação técnica? | Qual é o próximo marco oficial (ex: data de abertura de propostas ou publicação da ARP) e a data realística de fechamento? | Por que o BANT está ausente, e quem é o decisor final para a contratação?","PROCESSO PÚBLICO, BANT AUSENTE, DATA AGRESSIVA, PROCESSO PÚBLICO DETECTADO, QUALIFICAÇÃO BANT AUSENTE, OPORTUNIDADE ESTRATÉGICA GTM 2026","Inatividade de 50 dias com data de fechamento iminente., Qualificação BANT ausente (conforme flag do sistema)., Descrição do CRM desatualizada e desalinhada com o prazo atual.",VALIDAR-DATA,"Contatar o proprietário para revalidar a data de fechamento (27/02/2026) e obter o status atualizado do EDITAL/ARP, ajustando o prazo para o próximo marco oficial de contratação.","O risco principal é a perda de controle sobre o cronograma do processo público, resultando em um deslizamento de data ou perda por atraso no EDITAL.",11,0,0,2,2,OK,ESTÁVEL (Risco:50%),Fase:0d | Valor:0%/d | Ativ:0%,Sim,CARLOS MOLL,Distrito Federal,CRM,MENSAL x 1 ano,16666.67,50000,50000,50000,1/30/2026
2026-01-30T03:44:20.275Z,ATDI-106067--ATDI-100890-Agência Tecnologia da informação do Tocantins - GWS,Agência Tecnologia da informação do Tocantins,NOVO CLIENTE,Nueva Google Workspace Enterprise Starter | Servicios de Implementación Workspace,Denilson Goes,490000,178000,Calificar,Pipeline,FY26-Q2,30/06/2026,886,740,2,1.6,Reuniones / Videoconferencia:1,91,N/D,PIPELINE,0,-,16,"Metrics, Buyer, Process, Pain, Champion",Criteria,0,"Budget, Authority, Need, Timing",-,-,"HARD GATE: Deal com >90 dias e <3 atividades. Sugerido arquivamento. | DEAL DESK OBRIGATORIO | REVISÃO URGENTE: 736d funil, 91d inativo, 387d sem mudança fase | OPORTUNIDADE ESTAGNADA | QUALIFICAÇÃO BANT AUSENTE",Oportunidade há 24 meses sem evolução de fase,Gerar perguntas na próxima revisão.,"DESQUALIFICAÇÃO PRECOCE, DEAL DESK OBRIGATÓRIO, REVISÃO URGENTE NECESSÁRIA, ALERTA DE ESTAGNAÇÃO, QUALIFICAÇÃO BANT AUSENTE, OPORTUNIDADE ESTRATÉGICA GTM 2026","Metrics, Buyer, Process, Pain, Champion",ENCERRAR-INATIVO,-,-,18,0,0,3,8,7 editores diferentes | Valor alterado 8x,ESTÁVEL (Risco:60%),Fase:0d | Valor:-0.28%/d | Ativ:0%,Sim,DENILSON GOES,Tocantins,CRM,-,,,,,1/30/2026
2026-01-30T03:44:20.275Z,ABDF-138717-ABDF-121981--RenewGWS,Associação Brasileira de Fantasy Sports,BASE INSTALADA,Renovación Google Workspace Business Starter,Alex Araujo,504,60.48,Calificar,Pipeline,FY26-Q4,28/12/2026,347,20,0,0,-,SEM REGISTRO,BAIXA,PIPELINE,30,"Confiança baixa devido à ausência total de atividades (0 ações) e flags de estagnação e qualificação BANT ausente, indicando que o deal está parado desde a criação.",0,"Metrics, Buyer, Criteria, Process, Pain, Champion",-,0,"Budget, Authority, Need, Timing",-,"O deal é uma renovação de base instalada, o que é um ponto positivo. No entanto, foi criado há 15 dias e já possui alertas críticos de estagnação e falta de qualificação BANT. A descrição é vaga ('Renew GWS') e não há registro de nenhuma ação ou contato. O prazo de fechamento (28/12/2026) é excessivamente longo para uma renovação de GWS, sugerindo falta de urgência ou planejamento. Sem engajamento, este deal é um 'placeholder' de baixo valor e alto risco de perda por inação.",VELOCITY: DEAL ESTAGNADO | OPORTUNIDADE ESTAGNADA | QUALIFICAÇÃO BANT AUSENTE,OK,"Qual é o status real desta renovação (automática, manual, risco de churn)? | Por que a data de fechamento está definida para 28/12/2026, quase um ano após a criação? | Qual foi a tentativa de contato inicial para preencher o BANT e iniciar a cadência?","BANT AUSENTE, ALERTA DE ESTAGNAÇÃO, QUALIFICAÇÃO BANT AUSENTE, OPORTUNIDADE ESTRATÉGICA GTM 2026","Zero atividade registrada (0 ações) e inatividade desde a criação., Qualificação BANT ausente, conforme flag do sistema., Data de fechamento irrealista para um produto de renovação de baixo valor.",AUMENTAR-CADENCIA,"O vendedor deve realizar contato imediato (cadência zero) e preencher o BANT. Se a renovação for automática e não houver risco de churn, o deal deve ser encerrado ou a data de fechamento ajustada para o mês da renovação real. Caso contrário, deve-se estabelecer um plano de ação claro.",Perda do deal por inação ou renovação com concorrente devido à falta de engajamento e qualificação inicial.,2,0,0,0,0,OK,ESTAGNADO (Risco:90%),Fase:0d | Valor:0%/d | Ativ:0%,Sim,ALEX ARAUJO,São Paulo,CRM,-,,,,,1/30/2026
2026-01-30T03:44:20.275Z,AFPP-136963-Associação Fundo Patrimonial Patronos-,Associação Fundo Patrimonial Patronos,NOVO CLIENTE,GCP Consumo | Servicios Profesionales GCP Infra,Alex Araujo,3000,2120,Calificar,Pipeline,FY26-Q2,30/04/2026,353,268,0,0,-,61,BAIXA,PIPELINE,20,"Deal extremamente inativo (61 dias) e estagnado na fase de Calificar (10%) por 9 meses, indicando abandono ou qualificação falha.",16,"Metrics, Buyer, Process, Pain, Champion",Criteria,0,"Budget, Authority, Need, Timing",-,"O negócio foi criado em 12/05/2025 e, após nove meses, ainda está na fase inicial de Calificar. Não há atividades registradas (0 ações) e o deal está inativo há 61 dias. A última informação relevante é uma reunião em 02/12/2025, onde uma proposta seria enviada, mas não há evidência de follow-up ou status. O histórico de alteração da data de fechamento (duas vezes em 30 dias) reforça a falta de controle e a baixa probabilidade de fechamento.",,OK,"A proposta mencionada na descrição (reunião 02/12/2025) foi enviada? Qual foi o feedback do cliente? | Qual é o plano de ação imediato para reengajar o cliente após 61 dias de inatividade? | Por que este deal, criado em maio/2025, ainda está na fase de Calificar (10%)?","BANT AUSENTE, DEAL ESTAGNADO, INATIVIDADE CRITICA","Inatividade crítica (61 dias) e zero atividades registradas., Deal estagnado na fase inicial por 9 meses., Ausência de evidência de BANT ou próximo passo claro após a promessa de envio de proposta.",ENCERRAR-INATIVO,"O vendedor deve entrar em contato imediatamente para validar a viabilidade do projeto. Se não houver resposta ou evidência de próximo passo claro em 48h, o deal deve ser encerrado como 'Perdido por Inatividade' para limpar o pipeline.",Perda por inatividade e abandono do projeto.,7,0,0,0,1,OK,ESTAGNADO (Risco:90%),Fase:0d | Valor:0%/d | Ativ:100%,NÃO,LUCIANA FONSECA,São Paulo,CRM,ANUAL x 1 ano,0,3000,0,0,1/30/2026
2026-01-30T03:44:20.275Z,BADS-135269-BANCO DIGIO S.A-,BANCO DIGIO S.A,NOVO CLIENTE,Servicios Profesionales GCP Data,Gabriele Oliveira,54185.85,54185.85,Propuesta,Upside,FY26-Q1,20/02/2026,118,102,4,3.2,Reuniones / Videoconferencia:2,11,MÉDIA,PIPELINE,45,"Confiança moderada devido à fase avançada (Proposta), mas mitigada por 11 dias de inatividade crítica e pendência obrigatória de Deal Desk e qualificação BANT.",32,"Buyer, Process, Pain, Champion","Metrics, Criteria",0,"Budget, Authority, Need, Timing",-,"O deal está na fase de Proposta (60%) e tem um valor relevante, mas apresenta bloqueadores críticos. A inatividade de 11 dias é alta para um fechamento previsto em 20/02/2026 (21 dias). O sistema exige Deal Desk, mas não há evidência de aprovação. Além disso, a atividade mais recente indica que o processo está parado, 'Aguardando retorno do Bradesco', o que configura uma dependência externa não resolvida. A ausência de descrição no CRM e a flag 'BANT AUSENTE' indicam qualificação fraca.",DEAL DESK OBRIGATORIO | QUALIFICAÇÃO BANT AUSENTE,OK,"Qual é o status da aprovação do Deal Desk (pricing/financeiro) e quem é o responsável por essa etapa? | Qual é o papel exato do Bradesco na decisão de compra do Digio e qual o prazo limite para o retorno esperado? | Quais são os próximos passos definidos com o Fabiano da Digio após o contato registrado, e qual a evidência de valor discutida?","DEAL DESK OBRIGATÓRIO, BANT AUSENTE, INATIVIDADE CRÍTICA, NOVO CLIENTE, QUALIFICAÇÃO BANT AUSENTE, OPORTUNIDADE ESTRATÉGICA GTM 2026","Deal Desk Obrigatório sem evidência de aprovação interna, 11 dias de inatividade crítica a 21 dias do fechamento, Qualificação BANT ausente (descrição vazia), Dependência de retorno de terceiro (Bradesco) não resolvida",CHECAR-DEAL-DESK,"Priorizar a obtenção da aprovação interna do Deal Desk (pricing/financeiro). Imediatamente, reengajar o contato (Fabiano/Digio) para entender o status do retorno do Bradesco e estabelecer um próximo passo claro e datado, mitigando a inatividade.","Falha em obter a aprovação interna (Deal Desk) ou atraso causado pela dependência externa (Bradesco), resultando em perda da data de fechamento.",14,0,0,2,2,OK,ESTÁVEL (Risco:50%),Fase:0d | Valor:0%/d | Ativ:0%,Sim,LUCIANA FONSECA,São Paulo,CRM,ANUAL x 1 ano,54185.85,0,0,0,1/30/2026
2026-01-30T03:44:20.275Z,BEED-137923-Renovación-BEED-137730--Pedido adicional Dezembro 25,Beedoo Edtech,BASE INSTALADA,Renovación Google Workspace Business Plus | Renovación Google Workspace Business Standard | Renovación Google Workspace Business Starter,Alex Araujo,4416,529.92,Calificar,Pipeline,FY26-Q1,25/02/2026,58,37,0,0,-,SEM REGISTRO,BAIXA,PIPELINE,30,"Baixa confiança devido à ausência total de atividades e qualificação BANT, apesar de ser uma renovação de base instalada.",0,"Metrics, Buyer, Criteria, Process, Pain, Champion",-,0,"Budget, Authority, Need, Timing",-,"O negócio é uma renovação, o que geralmente aumenta a confiança, mas está estagnado na fase inicial (Calificar, 10%) desde 29/12/2025. Não há registro de nenhuma atividade (0 ações), a descrição do CRM está vazia e o sistema sinaliza BANT AUSENTE. O prazo de fechamento (25/02/2026) está próximo, tornando a falta de engajamento um risco crítico de perda (churn).",RENOVAÇÃO: Owner Alex Araujo é responsável por renovações mesmo fora do território padrão. | VELOCITY: DEAL ESTAGNADO | OPORTUNIDADE ESTAGNADA | QUALIFICAÇÃO BANT AUSENTE,OK,"Qual o status atual da comunicação com o cliente Beedoo Edtech? | O BANT foi realizado? Se sim, onde estão as evidências no CRM? | Existe risco de churn ou de o cliente ter migrado para um concorrente, dado o silêncio total de atividades?","ALERTA DE ESTAGNAÇÃO, QUALIFICAÇÃO BANT AUSENTE, RENOVACAO, OPORTUNIDADE ESTRATÉGICA GTM 2026","Ausência total de atividades (0 ações) desde a criação., Descrição do CRM vazia., Qualificação BANT ausente (Flag de sistema).",AUMENTAR-CADENCIA,"O AE deve entrar em contato imediatamente para validar a intenção de renovação, registrar o BANT completo e atualizar a fase do CRM. Se não houver atividade registrada e qualificação em 48 horas, o negócio deve ser encerrado por inatividade.","Perda da renovação (churn) devido à inatividade e falta de engajamento do AE, indicando que o negócio não está sendo trabalhado.",3,0,0,0,1,OK,ESTAGNADO (Risco:90%),Fase:0d | Valor:0%/d | Ativ:0%,NÃO,LUCIANA FONSECA,São Paulo,CRM,-,,,,,1/30/2026
2026-01-30T03:44:20.275Z,BNDD-135959--BNDES-Inovacao IA para juridico,BNDES-Banco Nacional de Desenvolvimento Econômico e Social,NOVO CLIENTE,GCP Consumo Nuevo,Emilio Goncalves,120000,14400,Evaluación,Pipeline,FY26-Q2,30/05/2026,323,208,1,0.6,-,0,BAIXA,PIPELINE,45,"Qualificação fraca e histórico de adiamento de data de fechamento, apesar da fase inicial (Evaluación).",32,"Metrics, Buyer, Pain, Champion","Criteria, Process",0,"Budget, Authority, Need, Timing",-,"O negócio tem 7 meses e está apenas na fase de Avaliação (20%). A única atividade recente registrada é administrativa (criação no Partner Advantage), indicando falta de engajamento substantivo com o cliente. O histórico mostra múltiplas alterações na data de fechamento, sugerindo incerteza no cronograma.",,OK,Qual é o próximo marco de decisão do BNDES e a data prevista? | Quem é o decisor final e ele já validou a solução de IA? | Qual a evidência de orçamento (B) alocado para este projeto de inovação?,"NOVO CLIENTE, BANT AUSENTE, DATA PUSHED","Qualificação BANT ausente (falta de evidência de orçamento e timeline validada pelo cliente)., Engajamento superficial (atividade recente é apenas administrativa)., Risco de estagnação devido à idade do deal na fase inicial.",VALIDAR-DATA,"O AE deve validar com o cliente se a data de fechamento de 30/05/2026 é realista, exigindo evidências de próximos passos concretos (ex: reunião de proposta, aprovação de escopo).","Falta de validação do cronograma e do orçamento pelo cliente, levando a novos adiamentos ou perda por estagnação.",8,0,0,1,1,OK,ESTAGNADO (Risco:90%),Fase:0d | Valor:0%/d | Ativ:0%,Sim,EMILIO GONCALVES,Rio de Janeiro,CRM,ANUAL x 1 ano,0,120000,0,0,1/30/2026
2026-01-30T03:44:20.275Z,BRGO-137498-BRGO-129806--Renovación-AdicionalGWS,BR Goods,BASE INSTALADA,Renovación Google Workspace Business Standard | Renovación Google Workspace Business Starter,Alex Araujo,756,90.72,Calificar,Pipeline,FY26-Q4,18/11/2026,337,50,0,0,-,SEM REGISTRO,BAIXA,PIPELINE,25,"Oportunidade em fase inicial (10%) com zero atividade registrada desde a criação, indicando estagnação e qualificação ausente (BANT).",0,"Metrics, Buyer, Criteria, Process, Pain, Champion",-,0,"Budget, Authority, Need, Timing",-,"O deal é um Renewal/Add-on (BR Goods - BASE INSTALADA), o que confere um potencial inerente. No entanto, a ausência total de atividades (0 ações) desde 16/12/2025, juntamente com os alertas de estagnação e a flag 'QUALIFICAÇÃO BANT AUSENTE', coloca a oportunidade em risco crítico. A data de fechamento (18/11/2026) é excessivamente longa para um deal de renovação/adicional, especialmente sem engajamento inicial.",RENOVAÇÃO: Owner Alex Araujo é responsável por renovações mesmo fora do território padrão. | VELOCITY: DEAL ESTAGNADO | OPORTUNIDADE ESTAGNADA | QUALIFICAÇÃO BANT AUSENTE,OK,"Qual foi a última tentativa de contato e qual o status da qualificação BANT? | Por que a data de fechamento está definida para 18/11/2026, sendo um deal de Renovação/Adicional? | Qual é o plano de ação imediato para reverter a estagnação e registrar o primeiro marco de qualificação?","BANT AUSENTE, ALERTA DE ESTAGNAÇÃO, RENOVACAO/ADDON, QUALIFICAÇÃO BANT AUSENTE, OPORTUNIDADE ESTRATÉGICA GTM 2026","Zero atividade registrada (0 ações) desde a criação (16/12/2025)., Qualificação BANT ausente (flag de sistema e descrição vaga)., Alerta de Estagnação ativo.",AUMENTAR-CADENCIA,"O vendedor deve realizar contato imediato para validar o BANT (Budget, Authority, Need, Timeline) e registrar a atividade. Se a qualificação não for estabelecida em 7 dias, o deal deve ser encerrado ou movido para 'Nurturing'.","Perda da oportunidade por inação e falta de validação da necessidade do cliente, resultando em um deal 'fantasma' no pipeline.",2,0,0,0,0,OK,ESTAGNADO (Risco:90%),Fase:0d | Valor:0%/d | Ativ:0%,NÃO,LUCIANA FONSECA,São Paulo,CRM,-,,,,,1/30/2026
